Year,Week,Percent of Deaths Due to Pneumonia and Influenza,Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths
2018,19,5.914897704,6.32085,6.66637,52055,3026,53
2018,20,5.910160809,6.20967,6.55484,50557,2945,43
2018,21,5.841484776,6.09824,6.44305,50809,2942,26
2018,22,5.736981465,5.98807,6.33253,50985,2899,26
2018,23,5.603896354,5.88068,6.22479,51946,2897,14
2018,24,5.744954414,5.77755,6.12129,51332,2935,14
2018,25,5.620930415,5.68006,6.02345,50988,2859,7
2018,26,5.649828733,5.58954,5.93258,50798,2861,9
2018,27,5.372052926,5.50721,5.8499,51619,2763,10
2018,28,5.440672992,5.43416,5.77649,51115,2776,5
2018,29,5.358026157,5.37135,5.71332,50541,2700,8
2018,30,5.388446215,5.31958,5.6612,50200,2691,14
2018,31,5.263261996,5.2795,5.62076,50558,2657,4
2018,32,5.256329612,5.25158,5.59249,50872,2664,10
2018,33,5.204638744,5.23613,5.57668,50186,2607,5
2018,34,5.384477932,5.23325,5.57345,50367,2702,10
2018,35,5.202804405,5.24289,5.58274,50492,2621,6
2018,36,5.455269974,5.2648,5.60429,50190,2732,6
2018,37,5.40529939,5.29854,5.63768,50987,2747,9
2018,38,5.475218659,5.34354,5.68232,51450,2806,11
2018,39,5.530625098,5.40469,5.74347,50808,2796,14
2018,40,5.659654366,5.47557,5.81435,52194,2944,10
2018,41,5.536493167,5.55517,5.89395,51585,2844,12
2018,42,5.639090616,5.64235,5.98113,52739,2956,18
2018,43,5.723849059,5.73586,6.07464,53478,3037,24
2018,44,5.628220373,5.83435,6.17313,52983,2958,24
2018,45,5.649116138,5.9364,6.27518,52610,2943,29
2018,46,5.7631731,6.04055,6.37933,53651,3067,25
2018,47,5.814018431,6.1453,6.48408,53715,3092,31
2018,48,5.98004793,6.24915,6.58793,53829,3184,35
2018,49,6.068762098,6.3506,6.68938,54245,3238,54
2018,50,6.31172811,6.44819,6.78697,54169,3371,48
